Number,Date Time UTC 4,Temperature
1034,12/2/18 04:15,27.875
1035,12/2/18 04:30,27.875
1036,12/2/18 04:45,27.875
1037,12/2/18 05:00,27.875
1038,12/2/18 05:15,27.875
1039,12/2/18 05:30,27.875
1040,12/2/18 05:45,27.875
1041,12/2/18 06:00,27.875
1042,12/2/18 06:15,27.85
1043,12/2/18 06:30,27.85
1044,12/2/18 06:45,27.875
1045,12/2/18 07:00,27.974
1046,12/2/18 07:15,27.998
1047,12/2/18 07:30,28.023
1048,12/2/18 07:45,27.974
1049,12/2/18 08:00,27.924
1050,12/2/18 08:15,27.949
1051,12/2/18 08:30,27.949
1052,12/2/18 08:45,27.974
1053,12/2/18 09:00,27.998
1054,12/2/18 09:15,27.998
1055,12/2/18 09:30,27.998
1056,12/2/18 09:45,27.974
1057,12/2/18 10:00,28.023
1058,12/2/18 10:15,28.023
1059,12/2/18 10:30,28.072
1060,12/2/18 10:45,28.072
1061,12/2/18 11:00,28.023
1062,12/2/18 11:15,28.048
1063,12/2/18 11:30,28.048
1064,12/2/18 11:45,28.023
1065,12/2/18 12:00,28.072
1066,12/2/18 12:15,28.097
1067,12/2/18 12:30,28.122
1068,12/2/18 12:45,28.097
1069,12/2/18 13:00,28.122
1070,12/2/18 13:15,28.122
1071,12/2/18 13:30,28.122
1072,12/2/18 13:45,28.122
1073,12/2/18 14:00,28.122
1074,12/2/18 14:15,28.097
1075,12/2/18 14:30,28.097
1076,12/2/18 14:45,28.097
1077,12/2/18 15:00,28.072
1078,12/2/18 15:15,28.122
1079,12/2/18 15:30,28.072
1080,12/2/18 15:45,28.072
1081,12/2/18 16:00,28.072
1082,12/2/18 16:15,28.048
1083,12/2/18 16:30,28.048
1084,12/2/18 16:45,28.023
1085,12/2/18 17:00,28.023
1086,12/2/18 17:15,28.023
1087,12/2/18 17:30,28.023
1088,12/2/18 17:45,28.023
1089,12/2/18 18:00,28.023
1090,12/2/18 18:15,28.023
1091,12/2/18 18:30,28.023
1092,12/2/18 18:45,28.023
1093,12/2/18 19:00,27.998
1094,12/2/18 19:15,27.998
1095,12/2/18 19:30,27.998
1096,12/2/18 19:45,27.998
1097,12/2/18 20:00,27.974
1098,12/2/18 20:15,27.974
1099,12/2/18 20:30,27.974
1100,12/2/18 20:45,27.949
1101,12/2/18 21:00,27.949
1102,12/2/18 21:15,27.949
1103,12/2/18 21:30,27.949
1104,12/2/18 21:45,27.924
1105,12/2/18 22:00,27.924
1106,12/2/18 22:15,27.924
1107,12/2/18 22:30,27.949
1108,12/2/18 22:45,27.998
1109,12/2/18 23:00,27.924
1110,12/2/18 23:15,27.924
1111,12/2/18 23:30,27.924
1112,12/2/18 23:45,27.924
1113,12/3/18 00:00,27.924
1114,12/3/18 00:15,27.924
1115,12/3/18 00:30,27.924
1116,12/3/18 00:45,27.899
