Status,Location,Project,Logger,Tag I.D.,Date On,Frequency,Duration (d),Date In,Time In,Date Full,Date Offloaded,Offloaded Filename,Date Out,Time Out,Notes,Processed,Metadata,
Removed,Kings Corner,,984711,na,9/27/2007,15,453,9/29/2007,,12/23/2008,9/9/2008,"Temp-Kings-Sep07-Sep08-984711.hobo, Temp-Kings_Corner-Sep08-Oct09-984711",,,,,,
Removed,Kings Corner,,2023288,na,10/12/2009,15,453,10/13/2009,,1/8/2011,,,,,,,,
Removed,Lang ADCP,,984693,175,3/30/2007,15,453,3/30/2007,,6/25/2008,,,,,,,,
Removed,Lang ADCP,,2023286,na,4/6/2009,15,453,4/7/2009,,7/3/2010,10/9/2009,Temp-Lang Hind-Apr09-May09-2023286,,,"(only 1 min intervals), removed on 8/6/10.  Not responding to shuttle.",,,
Removed,Lang Bank,,984684,na,8/7/2006,15,453,9/7/2006,,11/3/2007,3/30/2007,Temp-Lang Sep06-Mar07.hobo,,,Retrieved,,,
Removed,Lang EEMP,,2023289,na,4/9/2009,15,453,4/9/2009,,7/6/2010,10/10/2009,Temp-Lang EEMP-Apr09-Oct09-2023289,,,,,,
Removed,Magens,,ND (801999?),na,,ND,ND,,,,,Missing File,,,Missing File,,,
Removed,Magens,,ND,na,3/23/2006,ND,ND,3/28/2006,,#VALUE!,,Temp-StT-MGN 3-23-06 to 6-22-06.txt,,,NO Dates,,,
Removed,Magens,,984688,171,6/22/2006,15,453,6/22/2006,,9/18/2007,5/15/2007,"Temp-Magens Apr06-May07, Temp-Magens-May07-Sep07.csv, Temp-Magens-Sep07-Aug08-984688.csv, Temp-Magens-May09-Sep10-984688",,,Relaunched (5/5/07),,,
Removed,Mutton,,984716,na,9/29/2007,15,453,9/29/2007,,12/25/2008,9/6/2008,"Temp-Mutton-Oct07-Sep08-984716.hobo, Temp-Mutton CRMP-Sep08-Sep09-984716, Temp-Mutton-22m-Oct09-Aug10-984716",,,,,,
Removed,Mutton (130'),,2023291,na,9/6/2008,15,453,9/7/2008,,12/3/2009,,Temp-Mutton Deep-Sep08-Oct09-2023291,,,,,,
Removed,Mutton (130'),,1176909,155,10/5/2009,15,453,5/8/2009,,1/1/2011,10/8/2009,Temp-Mutton-39m-Oct09-Aug10-1176909,,,,,,
Removed,Rupert's Rock,,984704,176,2/17/2007,15,453,2/17/2007,,5/15/2008,9/4/2007,Temp-Ruperts-Feb07-Sep07.csv,,,"Removed logger on 9/4/07,Removed, will use NOAA monitor",,,
Removed,S. Cappella,,984679,159,6/28/2006,15,453,7/19/2006,,9/24/2007,9/7/2007,Temp-South_Capella-Jul06-Sep07.csv,,,,,,
Removed,S. Cappella,,984687,163,9/1/2007,15,453,9/7/2007,,11/27/2008,7/31/2008,"Temp-South_Capella-Sep07-Jul08-984687.csv, Temp-South_Capella-Jul08-Sep09-984687.csv, Temp-SCapella-Sep09-Nov10-984687-ok.csv",,,,,,
Removed,S. Water,,984692,166,7/22/2006,15,453,7/24/2006,,10/18/2007,8/31/2007,Temp-South_Water-Jul06-Aug07_0.csv,,,,,,
Removed,Salt River,,984713,160,1/6/2007,15,453,1/5/2007,,4/3/2008,9/30/2007,,,,,,,
Removed,Salt River (100'),,984717,na,1/6/2007,15,453,1/5/2007,,4/3/2008,9/30/2007,,,,,,,
Removed,Salt River (39m),,2023290,na,4/4/2009,15,453,4/6/2009,,7/1/2010,,Temp-SaltRiver-39m-Apr09-Jan10-2023290,,,,,,
Removed,Salt River (41m),,2023290,na,1/21/2009,15,453,9/21/2009,,4/19/2010,1/21/2010,Temp-SaltRiver-41m-Feb10-Aug10-2023290,,,,,,
Removed,Savana,,984698,161,7/24/2006,15,453,7/10/2006,,10/20/2007,5/17/2007,"Temp-Savana_Jul06-May07.csv, Temp-Savana-May07-Aug08-984698.csv, Temp-Savana-Jul09-Oct10-984698.csv",,,"Relaunched (5/17/07), Gap in data between 8/11/08-8/20/08",,,
Removed,Seahorse Cottage,,801997,na,12/2/2005,8,ND,12/22/2005,,,,,,,,,,
Removed,Seahorse Cottage,,ND,na,4/28/2006,ND,ND,4/28/2006,,#VALUE!,,Temp-StT-SHR 4-28-06 to 6/23/06.xls,,,,,,
Removed,Seahorse Cottage,,984686,156,6/23/2006,15,453,6/23/2006,,9/19/2007,8/30/2007,"Temp-Seahorse-Jun06-Aug07.csv, Temp-Seahorse-8-30-07--6-11-08.csv, Temp-Seahorse-6-11-08--2-17-09.csv, Temp-Seahorse-Feb09-Nov09-09984686,  Temp-Seahorse-Nov09-Jun10-984686.csv, Temp-Seahorse-Jun10-Oct10-984686",,,,,,
Removed,South Fish,,984684,na,9/5/2007,15,453,9/19/2007,,12/1/2008,7/23/2008,Temp-SFish-Sep07-Jul08-984684.csv,,,,,,
Removed,South Fish,,2023292,167,7/23/2008,15,453,7/23/2008,,10/19/2009,7/8/2009,Temp-South_FIsh-Jul09-Sep10-2023292-ok,,,,,,
Removed,South Water,,984680,162,7/24/2008,15,453,7/29/2008,,10/20/2009,10/1/2009,"Temp-South_Water-Jul08-Oct09-984680, Temp-SouthWater-Oct09-Oct10-984680.csv",,,,,,
Removed,Sprat Hole,,2023287,na,9/6/2008,15,453,9/7/2008,,12/3/2009,,Temp-SpratHole-Sep08-Jan10-2023287,,,,,,
Removed,St. James,,2023296,168,7/30/2008,15,453,7/30/2008,,10/26/2009,6/30/2009,"Temp-StJames-Jul08-Jun09-2023296.csv, Temp-StJames-May09-Sep10-2023296",,,,,,
Removed,Frenchman's Reef,,984682,178,2/17/2007,15,453,2/17/2007,,5/15/2008,9/12/2008,"Temp-Frenchmans_Reef-Feb07-May08-984682.csv, Temp-Frenchmans-May08-Dec08.xls",,,Gap in data from May08-Sep08 (?),,,
Removed,Benner,,9793284,189,10/19/2010,15,453,10/19/2010,,1/15/2012,9/7/2011,Temp_Benner_10Oct11Aug_9793284.csv,,,,,,
Removed,Black Pt.,,9696775,187,6/17/2010,15,453,6/17/2010,,9/13/2011,9/7/2011,Temp_BlackPt_10Jun11Aug_9696775.csv,,,,,,
Removed,Botany,,9793277,na,9/25/2010,15,453,9/25/2010,,12/22/2011,11/10/2011,Temp_Botany_10Sep11Oct_9793277.csv,,,,,,
Removed,Buck Is.-StT,,9793278,na,9/28/2010,15,453,9/28/2010,,12/25/2011,11/10/2011,Temp_BuckStT_10Sep11Oct_9793278.csv,,,,,,
Removed,Cane Bay (39m),,9793290,na,11/9/2010,15,453,11/9/2010,,2/5/2012,8/16/2011,Temp_Cane39m_10Nov11Jul_9793290.csv,,,,,,
Removed,Cane Bay (9m),,9696778,na,8/8/2010,15,453,8/8/2010,,11/4/2011,8/16/2011,Temp_CaneBay9m_Aug10-Jul11_9696778.csv,,,,,,
Removed,Castle,,2023289,na,8/10/2010,15,453,8/10/2010,,11/6/2011,8/16/2011,Temp_Castle_10Jul11Jul_2023289.csv,,,,,,
Removed,College Shoal,,9793292,na,12/2/2010,15,453,12/2/2010,,2/28/2012,10/25/2011,Temp_College_10Dec11Oct_9793292.csv,,,,,,
Removed,Coral Bay-N. Reef,,9696780,na,6/27/2010,15,453,6/27/2010,,9/23/2011,10/25/2011,Temp_CoralBay_10Jun11Sep_9696780.csv,,,,,,
Removed,Eagle Ray,,984706,na,8/4/2010,15,453,8/5/2010,,10/31/2011,8/16/2011,Temp_Eagle_Aug10-Jul11_984706.csv,,,,,,
Removed,Fish Bay,,9793280,190,9/28/2010,15,453,9/28/2010,,12/25/2011,9/21/2011,Temp_FishBay_10Sep11Sep_9793280.csv,,,,,,
Removed,Flat Cay,,984682,178,9/10/2009,15,453,9/10/2009,,12/7/2010,11/19/2009,"Temp-Flat-Sep09-Nov09-984682.csv, Temp-Flat-Nov09-Jun10-984682.csv, Temp-Flat-Jun10-Apr11-984682.csv",,,,,,
Removed,Grammanik (Tiger Spawn),,9696781,177,12/3/2010,15,453,12/3/2010,,2/29/2012,5/5/2011,Temp-GramTiger-Dec10-Apr11-9696781.csv,,,,,,
Removed,Great Pond,,984716,na,8/11/2010,15,453,8/11/2010,,11/7/2011,8/16/2011,Temp_GreatPond_10Nov11Jul_984716.csv,,,,,,
Removed,Hind Bank E. (20m),,9793287,na,10/28/2010,15,453,10/28/2010,,1/24/2012,11/10/2011,Temp_HindFSA20m_10Oct11Nov_9793287.csv,,,,,,
Removed,Hind Bank E. (30m),,9793286,na,10/28/2010,15,453,10/28/2010,,1/24/2012,11/10/2011,Temp_HindFSA30m_10Oct11Nov_9793286.csv,,,,,,
Removed,Hind Bank E. (40m),,9793294,na,12/7/2010,15,453,12/7/2010,,3/4/2012,11/10/2011,Temp_HindFSA40m_10Oct11Nov_9793294.csv,,,,,,
Removed,Jacks Bay,,9793293,194,11/11/2010,15,453,11/11/2010,,2/7/2012,8/16/2011,Temp_Jacks_10Nov11Jul_9793293.csv,,,,,,
Removed,Kings Corner,,2023291,na,8/9/2010,15,453,8/9/2010,,11/5/2011,8/16/2011,Temp_Kings_Aug10-Jul11_202391.csv,,,,,,
Removed,Lang EEMP,,9696777,na,8/7/2010,15,453,8/7/2010,,11/3/2011,8/16/2011,Temp_LangEEMP_Aug10-Jul11_9696777.csv,,,,,,
Removed,Lang Hind,,2023290,na,8/6/2010,15,453,8/6/2010,,11/2/2011,8/16/2011,Temp_LangHind_Aug10-Jul11_2023290.csv,,,,,,
Removed,Magens,,9793276,na,9/25/2010,15,453,9/25/2010,,12/22/2011,10/25/2011,Temp_Magens_10Sep11Oct_9793276.csv,,,,,,
Removed,MCD Patch Reef,,9793275,na,9/2/2010,15,453,9/2/2010,,11/29/2011,,Temp_MCDPatch_10Sep11Nov_9793275.csv,,,,,,
Removed,MCD S166,,9793282,na,9/30/2010,15,453,9/30/2010,,12/27/2011,,Temp_MCDS166_10Sep11Dec_9793282.csv,,,,,,
Removed,Mutton,,2023287,na,8/11/2010,15,453,8/11/2010,,11/7/2011,8/16/2011,Temp_Mutton_Aug10-Jul11_2023287.csv,,,,,,
Removed,Mutton (130'),,2023288,na,8/11/2010,15,453,8/11/2010,,11/7/2011,8/16/2011,Temp_Mutton130_Aug10-Jul11_2023288.csv,,,,,,
Removed,Salt River (30m),,9696776,na,8/5/2010,15,453,8/5/2010,,,8/16/2011,Temp-Salt30m-Aug10-Jul11-9696776.csv,,,,,,
Removed,Salt River (41m),,9696774,na,8/5/2010,15,453,8/5/2010,,11/1/2011,8/16/2011,Temp-Salt41m-Aug10-Jul11-9696774.csv,,,,,,
Removed,Savana,,9793288,na,11/3/2010,15,453,11/3/2010,,1/30/2012,10/25/2011,Temp_Savana_10Nov11Oct_9793288.csv,,,,,,
Removed,Seahorse,,9793283,188,10/19/2010,15,453,10/19/2010,,1/15/2012,9/7/2011,Temp_Seahorse_10Oct11Aug_9793283.csv,,,,,,
Removed,South Capella,,9793291,na,11/19/2010,15,453,11/19/2010,,2/15/2012,11/10/2011,Temp_Scapella_10Nov11Oct_9793291.csv,,,,,,
Removed,South Fish,,9793281,281,9/28/2010,15,453,9/28/2010,,12/25/2011,1/20/2012,Temp_Sfish_10Oct11Nov_9793281.csv,,,,,,
Removed,South Water,,9793285,282,10/29/2010,15,453,10/29/2010,,1/25/2012,1/20/2012,Temp_Swater_10Nov11Nov_9793285.csv,,,,,,
Lost?,Sprat Hole,,2023293,na,8/11/2010,15,453,8/11/2010,,11/7/2011,,Not Recovered in 2011.,,,,,,
Removed,St. James,,9793279,na,9/28/2010,15,453,9/28/2010,,12/25/2011,10/25/2011,Temp_StJames_10Sep11Oct_9793279.csv,,,,,,
Stopped,Buck Is.-StT,,984683,na,7/24/2008,15,453,7/25/2008,,10/20/2009,6/23/2009,,,,,,,
Removed,El Seco VR2,,984704,176,5/30/2008,15,453,5/30/2008,,8/26/2009,5/16/2011,Temp-ElSeco-May08-Aug09-984704.csv,,,,,,
Stopped,Grammanik-Agaricia,,?,na,6/11/2009,15,453,6/11/2009,,9/7/2010,,,,,,,,
Removed,El Seco,,984708,172,5/12/2011,30,905,5/12/2011,,11/2/2013,9/30/2013,Temp_ElSeco_11May13Sep_984708.csv,,,,,,
Removed,El Seco,,984690,158,5/12/2011,30,905,5/12/2011,,11/2/2013,9/30/2013,Temp_ElSeco2_11May13Sep_984690.csv,,,,,,
Removed,Grammanik-Agaricia-50m,,1176909,155,4/20/2011,30,905,4/20/2011,,10/11/2013,3/8/2012,Temp_GramAgaricia50m_11Apr13Feb_1176909.csv,,,,,,
Removed,Grammanik-Agaricia-50m,,984680,162,4/20/2011,30,905,4/20/2011,,10/11/2013,3/11/2013,Temp_GramAgaricia50m2_11Apr13Feb_984680.csv,,,,,,
Removed,Grammanik-Agaricia-40m,,984693,175,4/20/2011,30,905,4/20/2011,,10/11/2013,3/11/2013,Temp_GramAgaricia40m2_11Apr13Feb_984693.csv,,,,,,
Removed,Grammanik-Agaricia-40m,,2023294,164,4/20/2011,30,905,4/20/2011,,10/11/2013,3/8/2013,Temp_GramAgaricia40m_11Apr13Feb_2023294.csv,,,,,,
Removed,Grammanik-Agaricia-60m,,984691,170,4/20/2011,30,905,4/20/2011,,10/11/2013,4/20/2013,Temp_GramAgaricia60m_11Apr13Apr_984691.csv,,,,,,
Removed,Grammanik-Agaricia-60m,,984713,160,4/20/2011,30,905,4/20/2011,,10/11/2013,4/21/2013,Temp_GramAgaricia60m2_11Apr13Apr_984713.csv,,,,,,
Removed,Grammanik-ADCP mooring-30m,,9793289,153,4/27/2011,30,905,4/28/2011,,10/18/2013,3/8/2013,Temp_GramADCP30m2_11Apr13Feb_9793289.csv,,,,,,
Removed,Grammanik-ADCP mooring-30m,,9837349,165,4/27/2011,30,905,4/28/2011,,10/18/2013,3/8/2013,Temp_GramADCP30m_11Apr13Feb_9837349.csv,,,,,,
Removed,Grammanik-200 feet,,2023292,167,4/19/2011,30,905,4/19/2011,,10/10/2013,12/16/2014,Temp_GinsburgTCRMP_11Apr13Feb_2023292.csv,,,,,,
Removed,Grammanik-200 feet,,2023296,168,4/19/2011,30,905,4/19/2011,,10/10/2013,12/16/2014,Temp_GinsburgTCRMP_11Apr13Feb_2023296.csv,,,,,,
Removed?,Grammanik TCRMP,,984685,173,4/22/2011,15,452,4/22/2011,,7/17/2012,10/25/2011,Temp_TigerFSA_11Apr11Oct_984685.csv,,,,,,
Removed,Flat Cay TCRMP,,984715,169,4/22/2011,15,452,4/22/2011,,7/17/2012,9/7/2011,Temp_Flat_11Apr11Aug_984715.csv,,,,,,
Lost,Salt Deep (41m),,984688,171,7/13/2011,15,452,7/13/2011,,10/7/2012,na,na,,,Not Recovered in 2012.,,,
Removed,Salt West (30m),,984686,156,7/13/2011,15,452,7/13/2011,,10/7/2012,10/11/2012,Temp_SaltWest30m_11Jul12Aug_984686.csv,,,,,,
Removed,Castle,,984704,176,7/13/2011,15,452,7/13/2011,,10/7/2012,10/11/2012,Temp_Castle_11Jul12Aug_984704.csv,,,,,,
Removed,Cane Bay (39m),,9696774,no  ID,7/13/2011,15,452,7/13/2011,,10/7/2012,8/24/2012,Temp_Cane39m_11Jul12Aug_9696774.csv,,,,,,
Removed,Cane Bay (9m),,9696776,no ID,7/13/2011,15,452,7/13/2011,,10/7/2012,8/24/2012,Temp_Cane9m_11Jul12Aug_9696776.csv,,,,,,
Removed,Great Pond,,984679,159,7/13/2011,15,452,7/13/2011,,10/7/2012,10/11/2012,Temp_GreatPond_12Jul12Sept_984679.csv,,,,,,
Removed,Sprat Hole,,984701,157,7/13/2011,15,452,7/13/2011,,10/7/2012,10/11/2012,Temp_SpratHole_11Jul12Aug_984701.csv,,,,,,
Removed,Mutton 24m,,984714,152,7/13/2011,15,452,7/13/2011,,10/7/2012,10/11/2012,Temp_Mutton24m_11Jul12Aug_984714.csv,,,,,,
Removed,Mutton 39m,,9696781,177,7/13/2011,15,452,7/13/2011,,10/7/2012,8/24/2012,Temp_Mutton39m_11Jul12Aug_9696781.csv,,,,,,
Removed,LangHindFSA,,984687,163,7/13/2011,15,452,7/13/2011,,10/7/2012,10/11/2012,Temp_LangHindFSA_11Jul12Aug_984689.csv,,,,,,
Removed,Lang EEMP,,984689,174,7/13/2011,15,452,7/13/2011,,10/7/2012,10/11/2012,Temp_LangEEMP_11Jul12Aug_984689.csv,,,,,,
Removed,KingsCorner,,984692,166,7/13/2011,15,452,7/13/2011,,10/7/2012,10/11/2012,Temp_KingsCorner_11Jul12Aug_984692.csv,,,,,,
Removed,Jacks,,984698,161,7/13/2011,15,452,7/13/2011,,10/7/2012,10/11/2012,Temp_Jacks_11Jul12Aug_984698.csv,,,,,,
Removed,Eagle,,984700,154,7/13/2011,15,452,7/13/2011,,10/7/2012,8/24/2012,Temp_Eagle_11Jul12Aug_984700.csv,,,,,,
Removed,Benner TCRMP,,9696777,184,8/30/2011,15,452,8/30/2011,,11/24/2012,9/5/2012,Temp_Benner_11Sept12Sept_9696777.csv,,,,,,
Removed,Seahorse TCRMP,,9696778,182,8/30/2011,15,452,8/30/2011,,11/24/2012,9/5/2012,Temp_Seahorse_11Sept12Sept_9696778.csv,,,,,,
Removed,BlackPt TCRMP,,2023288,183,8/31/2011,15,452,8/31/2011,,11/25/2012,10/11/2012,Temp_BlackPt_11Sept12Sept_2023288.csv,,,,,,
Removed,Flat TCRMP,,2023291,181,8/31/2011,15,452,8/31/2011,,11/25/2012,9/5/2012,Temp_Flat_11Sept12Sept_2023291.csv,,,,,,
Removed,Tiger FSA,,9793284,189,10/5/2011,15,452,10/5/2011,,12/30/2012,10/11/2012,Temp_TigerFSA_11Oct12Oct_979284.csv,,,,,,
Removed,Magens TCRMP,,9793290,192,10/5/2011,15,452,10/5/2011,,12/30/2012,11/29/2012,Temp_Magens_11Oct12Nov_9793290.csv,,,,,,
Removed,Botany TCRMP,,984718,186,10/5/2011,15,452,10/5/2011,,12/30/2012,11/29/2012,Temp_Botany_11Oct12Nov_984718.csv,,,,,,
Removed,Savana TCRMP,,9793283,188,10/5/2011,15,452,10/5/2011,,12/30/2012,11/29/2012,Temp_Savana_11Oct12Nov_9793283.csv,,,,,,
Removed,College Shoal TCRMP,,9696775,187,10/6/2011,15,452,10/6/2011,,12/31/2012,10/5/2012,Temp_College_11Oct12Sept_969775.csv,,,,,,
No Data,St. James TCRMP,,984715,169,10/6/2011,15,452,10/6/2011,,12/31/2012,na,na,,,"*Onset was unable to retrieve the data from the logger, said it was corroded**",,,
Removed,Coral Bay-TCRMP,,984716,193,10/6/2011,15,452,10/6/2011,,12/31/2012,12/10/2012,Temp_CoralBay_11Oct12Dec_984716.csv,,,,,,
Removed,South Capella TCRMP,,984706,180,10/6/2011,15,452,10/6/2011,,12/31/2012,9/18/2012,Temp_SCapella_11Oct12Dec_984706.csv,,,,,,
Removed,Hind Bank E. (40m),,9793276,198,11/1/2011,15,452,11/1/2011,,1/26/2013,11/8/2012,Temp_HindFSA40m_11Nov12Nov_9793276.csv,,,,,,
Removed,Hind Bank E. (20m),,9793288,196,11/1/2011,15,452,11/1/2011,,1/26/2013,11/8/2012,Temp_HindFSA20m_11Nov12Nov_9793288.csv,,,,,,
Removed,Hind Bank E. (30m),,9793279,197,11/1/2011,15,452,11/1/2011,,1/26/2013,11/8/2012,Temp_HindFSA30m_11Nov12Nov_9793279.csv,,,,,,
Removed,Buck Is.-StT,,9793280,190,10/21/2011,15,452,10/21/2011,,1/15/2013,1/10/2013,Temp_BuckSTT_11Oct12Dec_9793280.csv,,,,,,
Removed,Fish Bay,,2023287,179,9/16/2011,15,452,9/16/2011,,12/11/2012,10/19/2012,Temp_FishBay_11Sept12Oct_2023287.csv,,,,,,
Removed,South Water TCRMP,,2023289,191,11/29/2011,15,452,11/29/2011,,2/23/2013,4/22/2013,Temp_Swater_11Nov12Nov_2023289.csv,,,,,,
